'Elapsed time','I'
'hh:mm:ss.mmm','mV'
'0:00.000',0.164
'0:00.002',0.172
'0:00.004',0.166
'0:00.006',0.169
'0:00.008',0.168
'0:00.010',0.169
'0:00.012',0.176
'0:00.014',0.175
'0:00.016',0.175
'0:00.018',0.182
'0:00.020',0.178
'0:00.022',0.182
'0:00.024',0.174
'0:00.026',0.175
'0:00.028',0.183
'0:00.030',0.181
'0:00.032',0.179
'0:00.034',0.182
'0:00.036',0.185
'0:00.038',0.180
'0:00.040',0.182
'0:00.042',0.193
'0:00.044',0.181
'0:00.046',0.192
'0:00.048',0.181
'0:00.050',0.179
'0:00.052',0.177
'0:00.054',0.185
'0:00.056',0.195
'0:00.058',0.198
'0:00.060',0.202
'0:00.062',0.195
'0:00.064',0.195
'0:00.066',0.189
'0:00.068',0.203
'0:00.070',0.208
'0:00.072',0.204
'0:00.074',0.212
'0:00.076',0.211
'0:00.078',0.216
'0:00.080',0.218
'0:00.082',0.220
'0:00.084',0.221
'0:00.086',0.224
'0:00.088',0.222
'0:00.090',0.230
'0:00.092',0.234
'0:00.094',0.235
'0:00.096',0.247
'0:00.098',0.249
'0:00.100',0.253
'0:00.102',0.241
'0:00.104',0.264
'0:00.106',0.255
'0:00.108',0.268
'0:00.110',0.268
'0:00.112',0.268
'0:00.114',0.274
'0:00.116',0.284
'0:00.118',0.288
'0:00.120',0.297
'0:00.122',0.312
'0:00.124',0.302
'0:00.126',0.311
'0:00.128',0.320
'0:00.130',0.323
'0:00.132',0.333
'0:00.134',0.324
'0:00.136',0.349
'0:00.138',0.357
'0:00.140',0.361
'0:00.142',0.370
'0:00.144',0.366
'0:00.146',0.386
'0:00.148',0.391
'0:00.150',0.399
'0:00.152',0.393
'0:00.154',0.395
'0:00.156',0.410
'0:00.158',0.425
'0:00.160',0.421
'0:00.162',0.427
'0:00.164',0.426
'0:00.166',0.430
'0:00.168',0.438
'0:00.170',0.445
'0:00.172',0.447
'0:00.174',0.451
'0:00.176',0.450
'0:00.178',0.454
'0:00.180',0.449
'0:00.182',0.447
'0:00.184',0.442
'0:00.186',0.442
'0:00.188',0.422
'0:00.190',0.425
'0:00.192',0.409
'0:00.194',0.409
'0:00.196',0.416
'0:00.198',0.400
'0:00.200',0.396
'0:00.202',0.386
'0:00.204',0.374
'0:00.206',0.371
'0:00.208',0.354
'0:00.210',0.353
'0:00.212',0.340
'0:00.214',0.340
'0:00.216',0.337
'0:00.218',0.329
'0:00.220',0.317
'0:00.222',0.309
'0:00.224',0.298
'0:00.226',0.298
'0:00.228',0.283
'0:00.230',0.274
